tourney,id,winner_name,wins
Miami Masters 1990,2,Marin Cilic,0
Miami Masters 1990,2,Alexander Zverev,0
Miami Masters 1990,2,Grigor Dimitrov,0
Miami Masters 1990,2,Jack Sock,0
Miami Masters 1990,2,Juan Martin del Potro,0
Miami Masters 1990,2,John Isner,0
Miami Masters 1990,2,Karen Khachanov,0
Miami Masters 1990,2,Dominic Thiem,0
Miami Masters 1990,2,Fabio Fognini,0
Miami Masters 1990,2,Daniil Medvedev,0
Miami Masters 1990,2,Hubert Hurkacz,0
Monte Carlo Masters 1990,3,Stefan Edberg,1
Monte Carlo Masters 1990,3,Andre Agassi,1
Monte Carlo Masters 1990,3,Andrei Chesnokov,1
Monte Carlo Masters 1990,3,Juan Aguilera,0
Monte Carlo Masters 1990,3,Thomas Muster,0
Monte Carlo Masters 1990,3,Michael Chang,0
Monte Carlo Masters 1990,3,Boris Becker,0
Monte Carlo Masters 1990,3,Jim Courier,0
Monte Carlo Masters 1990,3,Sergi Bruguera,0
Monte Carlo Masters 1990,3,Karel Novacek,0
Monte Carlo Masters 1990,3,Emilio Sanchez,0
Monte Carlo Masters 1990,3,Guy Forget,0
Monte Carlo Masters 1990,3,Pete Sampras,0
Monte Carlo Masters 1990,3,Goran Ivanisevic,0
Monte Carlo Masters 1990,3,Michael Stich,0
Monte Carlo Masters 1990,3,Mikael Pernfors,0
Monte Carlo Masters 1990,3,Andrei Medvedev,0
Monte Carlo Masters 1990,3,Roberto Carretero,0
Monte Carlo Masters 1990,3,Wayne Ferreira,0
Monte Carlo Masters 1990,3,Thomas Enqvist,0
Monte Carlo Masters 1990,3,Marcelo Rios,0
Monte Carlo Masters 1990,3,Alex Corretja,0
Monte Carlo Masters 1990,3,Chris Woodruff,0
Monte Carlo Masters 1990,3,Petr Korda,0
Monte Carlo Masters 1990,3,Carlos Moya,0
Monte Carlo Masters 1990,3,Albert Costa,0
Monte Carlo Masters 1990,3,Patrick Rafter,0
Monte Carlo Masters 1990,3,Richard Krajicek,0
Monte Carlo Masters 1990,3,Greg Rusedski,0
Monte Carlo Masters 1990,3,Mark Philippoussis,0
Monte Carlo Masters 1990,3,Gustavo Kuerten,0
Monte Carlo Masters 1990,3,Thomas Johansson,0
Monte Carlo Masters 1990,3,Cedric Pioline,0
Monte Carlo Masters 1990,3,Magnus Norman,0
Monte Carlo Masters 1990,3,Marat Safin,0
Monte Carlo Masters 1990,3,Juan Carlos Ferrero,0
